M_CLIENT_NAME,M_TIMESTAMP,S_SPEED_X,S_SPEED_Y,S_SPEED_Z,S_RPM,S_GEAR,S_ANGLE,S_Z,S_DAMAGE,S_TRACK_POSITION,S_RACE_POSITION,S_DISTANCE_RACED,S_DISTANCE_FROM_START,S_CURRENT_LAPTIME,S_LAST_LAPTIME,A_ACCELERATION,A_BRAKE,A_GEAR,A_STEER,A_CLUTCH
SCR-CLIENT-CPP,+,0.01994,-0.016804,0.000727,1078,1,0.004362,0.339752,0,-0.334266,1,-0.000244,2562.52002,0.058,0,1,0,1,0.467903,0
SCR-CLIENT-CPP,+,-0.029569,-0.019554,0.001476,1094,1,0.004289,0.339764,0,-0.334266,1,-0.000244,2562.52002,0.078,0,1,0,1,0.467704,0
SCR-CLIENT-CPP,+,-0.07917,-0.019873,-0.000391,1109,1,0.004253,0.339786,0,-0.334266,1,-0.000488,2562.52002,0.098,0,1,0,1,0.467605,0
SCR-CLIENT-CPP,+,-0.128166,-0.01901,-0.00354,1124,1,0.004169,0.33981,0,-0.334266,1,-0.001221,2562.52002,0.118,0,1,0,1,0.467376,0
SCR-CLIENT-CPP,+,-0.1774,-0.016711,-0.007959,1140,1,0.004186,0.339831,0,-0.334266,1,-0.001953,2562.52002,0.138,0,1,0,1,0.467421,0
SCR-CLIENT-CPP,+,-0.2257,-0.015274,-0.01182,1155,1,0.004182,0.339843,0,-0.334266,1,-0.003174,2562.52002,0.158,0,1,0,1,0.467411,0
SCR-CLIENT-CPP,+,-0.274173,-0.011213,-0.016211,942,1,0.004273,0.339849,0,-0.334266,1,-0.004639,2562.52002,0.178,0,1,0,1,0.46766,0
SCR-CLIENT-CPP,+,0.04925,-0.008617,-0.017318,942,1,0.004249,0.339813,0,-0.334266,1,-0.005615,2562.52002,0.198,0,1,0,1,0.467595,0
SCR-CLIENT-CPP,+,0.276449,0.035272,-0.005937,942,1,0.0042,0.339692,0,-0.334254,1,-0.004639,2562.52002,0.218,0,1,0,1,0.467443,0
SCR-CLIENT-CPP,+,0.472835,0.040905,0.012333,942,1,0.004022,0.339561,0,-0.334224,1,-0.002197,2562.52002,0.238,0,1,0,1,0.466917,0
SCR-CLIENT-CPP,+,0.829721,0.068147,0.037973,942,1,0.003786,0.339437,0,-0.33415,1,0.002686,2562.530029,0.26,0,1,0,1,0.466173,0
SCR-CLIENT-CPP,+,1.12622,0.094347,0.063332,942,1,0.003447,0.339368,0,-0.334083,1,0.008545,2562.530029,0.28,0,1,0,1,0.465157,0
