lapTime,angle,trackPos,speed,track,steer,accel,brake
2.532,-0.0116081,-0.0864866,143.624,"[8.1492, 8.41051, 10.5354, 13.976, 23.0902, 30.1786, 44.0306, 82.5485, 200.0, 200.0, 200.0, 90.6428, 42.2388, 27.6722, 20.6934, 12.1472, 9.03239, 7.11565, 6.85181]",-0.0022719767832915377,1.0,0
2.592,-0.0109995,-0.0827624,144.203,"[8.12121, 8.38299, 10.5045, 13.9399, 23.0483, 30.1406, 44.0219, 82.7734, 200.0, 200.0, 200.0, 90.2875, 42.2546, 27.719, 20.7417, 12.1858, 9.06447, 7.14344, 6.8797]",-0.002355089898098163,1.0,0
2.652,-0.0104747,-0.0791936,144.773,"[8.0944, 8.35648, 10.4744, 13.9041, 23.0044, 30.0977, 43.9999, 82.942, 200.0, 200.0, 200.0, 90.0206, 42.2845, 27.77, 20.7914, 12.2239, 9.09565, 7.17018, 6.90643]",-0.0019075359307837506,1.0,0
2.712,-0.0098325,-0.0757886,145.367,"[8.0688, 8.33149, 10.4469, 13.8727, 22.971, 30.0719, 44.0121, 83.2255, 200.0, 200.0, 200.0, 89.6056, 42.2769, 27.8032, 20.8303, 12.2576, 9.12426, 7.19541, 6.93192]",-0.0016645656480913304,1.0,0
2.772,-0.0092651,-0.07254,145.93,"[8.0444, 8.30755, 10.4202, 13.8418, 22.9364, 30.0423, 44.0131, 83.4603, 200.0, 200.0, 200.0, 89.2678, 42.2812, 27.8395, 20.87, 12.2905, 9.15189, 7.21956, 6.95625]",-0.0009823795590191559,1.0,0
2.832,-0.00904306,-0.0694188,146.459,"[8.02097, 8.28385, 10.3918, 13.8058, 22.8832, 29.9789, 43.9375, 83.4087, 200.0, 200.0, 200.0, 89.3145, 42.3671, 27.9092, 20.9271, 12.3279, 9.18095, 7.24341, 6.97964]",-0.0004757292648124474,1.0,0
2.892,-0.00870513,-0.0664057,147.033,"[7.99835, 8.26123, 10.3654, 13.7735, 22.8393, 29.9308, 43.8936, 83.4657, 200.0, 200.0, 200.0, 89.219, 42.4184, 27.963, 20.9748, 12.3617, 9.20801, 7.26618, 7.00222]",-0.001017433993530003,1.0,0
2.952,-0.00856798,-0.0634922,147.593,"[7.97648, 8.23895, 10.3382, 13.7385, 22.7853, 29.8638, 43.8061, 83.3564, 200.0, 200.0, 200.0, 89.3418, 42.5159, 28.0354, 21.0321, 12.3978, 9.23567, 7.28858, 7.02407]",-0.001147009395149192,1.0,0
3.012,-0.00810248,-0.0606777,148.173,"[7.95534, 8.21814, 10.3148, 13.7111, 22.7533, 29.8349, 43.8003, 83.5404, 200.0, 200.0, 200.0, 89.0845, 42.5255, 28.0692, 21.0676, 12.4266, 9.25974, 7.30954, 7.04515]",-0.0018758473862481514,1.0,0
3.072,-0.00770118,-0.0579837,148.756,"[7.93511, 8.19812, 10.292, 13.6839, 22.72, 29.8023, 43.7842, 83.6792, 200.0, 200.0, 200.0, 88.8903, 42.5459, 28.1062, 21.1042, 12.455, 9.28312, 7.3297, 7.06533]",-0.0015199148660627049,1.0,0
3.132,-0.00738809,-0.0554,149.33,"[7.91572, 8.17876, 10.2696, 13.6565, 22.6836, 29.7633, 43.7516, 83.7501, 200.0, 200.0, 200.0, 88.7855, 42.5834, 28.1493, 21.1434, 12.4835, 9.3061, 7.34916, 7.08469]",-0.0013201372928072358,1.0,0
3.192,-0.00740183,-0.0528936,149.913,"[7.89692, 8.15931, 10.2451, 13.6238, 22.6288, 29.6911, 43.6444, 83.5392, 200.0, 200.0, 200.0, 89.0364, 42.6999, 28.2255, 21.2004, 12.5169, 9.3309, 7.36869, 7.10349]",-0.0013570208701544732,1.0,0
3.252,-0.00706327,-0.0504537,150.48,"[7.8786, 8.14112, 10.2242, 13.5987, 22.597, 29.6587, 43.6236, 83.6438, 200.0, 200.0, 200.0, 88.8897, 42.7241, 28.2614, 21.2348, 12.543, 9.35225, 7.38698, 7.12178]",-0.002403316648516122,1.0,0
3.312,-0.00665041,-0.0481033,151.07,"[7.86095, 8.12378, 10.2048, 13.5762, 22.5714, 29.6368, 43.624, 83.8225, 200.0, 200.0, 200.0, 88.6543, 42.7255, 28.2865, 21.2627, 12.5665, 9.3721, 7.40443, 7.13938]",-0.0023016066978523465,1.0,0
3.372,-0.00603746,-0.0458748,151.631,"[7.8442, 8.1078, 10.1883, 13.559, 22.5607, 29.6398, 43.6774, 84.1921, 200.0, 200.0, 200.0, 88.1928, 42.6713, 28.2863, 21.2759, 12.5847, 9.38915, 7.42051, 7.15607]",-0.0019275925017540364,1.0,0
3.432,-0.00569066,-0.0437754,152.236,"[7.82844, 8.09226, 10.1707, 13.5384, 22.5365, 29.6178, 43.6727, 84.3357, 200.0, 200.0, 200.0, 88.0119, 42.6781, 28.311, 21.302, 12.6061, 9.40704, 7.43613, 7.1718]",-0.0008679120543906224,1.0,0
3.492,-0.00535521,-0.0417908,152.784,"[7.81354, 8.07758, 10.1542, 13.5191, 22.514, 29.5977, 43.6701, 84.4793, 200.0, 200.0, 200.0, 87.8342, 42.6827, 28.3334, 21.3262, 12.6261, 9.42388, 7.45088, 7.18667]",-0.0006037733691053107,1.0,0
3.552,-0.00528745,-0.0398889,153.384,"[7.79928, 8.06298, 10.1363, 13.4957, 22.477, 29.551, 43.6066, 84.3866, 200.0, 200.0, 200.0, 87.936, 42.7505, 28.3823, 21.3645, 12.65, 9.44204, 7.46553, 7.20093]",-0.0003298428559018497,1.0,0
3.612,-0.00514058,-0.0380496,153.967,"[7.78547, 8.04903, 10.1196, 13.4746, 22.4462, 29.5145, 43.5647, 84.3709, 200.0, 200.0, 200.0, 87.9472, 42.7956, 28.4208, 21.3966, 12.6715, 9.45895, 7.47953, 7.21472]",-0.000874916077023731,1.0,0
3.672,-0.00491869,-0.0362747,154.512,"[7.77215, 8.03574, 10.1041, 13.4558, 22.4213, 29.488, 43.5434, 84.4288, 200.0, 200.0, 200.0, 87.8726, 42.819, 28.4492, 21.4228, 12.6908, 9.47462, 7.49288, 7.22803]",-0.0011431343471856245,1.0,0
3.732,-0.00466949,-0.0345689,155.131,"[7.75935, 8.02303, 10.0896, 13.4384, 22.3995, 29.4663, 43.5315, 84.5176, 200.0, 200.0, 200.0, 87.7632, 42.8325, 28.4725, 21.4459, 12.7087, 9.48939, 7.50563, 7.24081]",-0.0011467965407324626,1.0,0
3.792,-0.00442191,-0.0329385,155.635,"[7.74711, 8.01091, 10.0758, 13.4219, 22.3792, 29.4466, 43.5224, 84.6116, 200.0, 200.0, 200.0, 87.6493, 42.843, 28.4938, 21.4673, 12.7256, 9.50342, 7.5178, 7.25303]",-0.0010358883043625061,1.0,0
3.852,-0.0041814,-0.0313857,156.256,"[7.73546, 7.99938, 10.0626, 13.4063, 22.3601, 29.4283, 43.5148, 84.706, 200.0, 200.0, 200.0, 87.5365, 42.8518, 28.5135, 21.4873, 12.7417, 9.51674, 7.52938, 7.26467]",-0.000899976688148731,1.0,0
3.912,-0.00393707,-0.0299138,156.805,"[7.72441, 7.98847, 10.0503, 13.3918, 22.343, 29.4127, 43.5116, 84.8111, 200.0, 200.0, 200.0, 87.413, 42.856, 28.5304, 21.5054, 12.7565, 9.52924, 7.54032, 7.2757]",-0.0007555295808881479,1.0,0
3.972,-0.00367528,-0.0285248,157.357,"[7.71399, 7.97825, 10.0389, 13.3787, 22.3287, 29.4013, 43.5161, 84.9399, 200.0, 200.0, 200.0, 87.2646, 42.8523, 28.5429, 21.5205, 12.77, 9.54077, 7.55058, 7.28611]",-0.0005665630359753433,1.0,0
4.032,-0.00355011,-0.027201,157.96,"[7.70406, 7.96825, 10.0271, 13.3639, 22.3076, 29.377, 43.4903, 84.9471, 200.0, 200.0, 200.0, 87.2532, 42.8795, 28.5682, 21.5423, 12.7851, 9.55276, 7.56061, 7.29604]",-0.00028885958493485124,1.0,0
